metric,mean,std,min,max,p5,p95,n
outer_radius,636.7633,23.9178,544.8,652.8,615.9025,651.083,18
inner_radius,378.9128,81.7582,52.55,405.82,334.3165,405.616,18
center_dist,56.5083,123.947,4.62,548.41,5.9715,145.476,18
ring_thickness,257.8506,59.3145,226.44,492.26,227.7745,298.681,18
mean_radius,507.8383,52.4298,298.67,528.97,480.5615,528.4005,18
min_thickness,82.4444,97.1307,1,232,1,224.35,18
max_thickness,286.2222,10.9306,260,302,271.9,301.15,18
mean_thickness,238.3167,16.2678,192.27,260.14,209.5505,258.644,18
thickness_std,37.2794,27.926,14.12,104.16,16.279,94.2235,18
thickness_cv,16.4772,14.1528,5.84,54.17,6.6475,45.1005,18
thickness_range,203.7778,97.531,51,301,65.45,299.3,18
thickness_ratio,82.1877,118.1095,1.229,302,1.2834,291.8,18
circularity_outer,0.5432,0.174,0.0798,0.7971,0.3178,0.7351,18
circularity_inner,0.739,0.1643,0.1722,0.8426,0.4219,0.8419,18
outer_radial_std,20.4194,28.9687,4.03,126.25,5.577,63.86,18
inner_radial_std,4.7606,4.2149,2.13,18.28,2.2575,13.8005,18
eccentricity_pct,15.2167,42.159,0.87,183.62,1.159,39.8085,18
annular_area,792472.5,46373.9268,635238,855488,748798,855142.05,18
edge_clearance,69.2778,60.4345,0,174,0,166.35,18
