metric,mean,std,min,max,p5,p95,n
outer_radius,618.3872,12.9195,577.49,627.75,599.692,627.7075,18
inner_radius,337.1278,2.7535,331.41,339.89,332.923,339.839,18
center_dist,14.6739,22.1251,0.22,84.91,0.6025,48.5725,18
ring_thickness,281.2606,12.1971,246.07,294.56,261.727,293.2255,18
mean_radius,477.7583,7.0759,454.45,482.47,467.3105,481.9005,18
min_thickness,146.1667,109.3065,1,283,1,277.05,18
max_thickness,304.2222,6.4036,296,320,296.85,318.3,18
mean_thickness,277.5389,16.4761,231.44,295.05,248.304,291.6245,18
thickness_std,27.6661,29.1613,3.31,96.75,4.3555,76.843,18
thickness_cv,10.6161,12.0592,1.14,41.8,1.5225,31.073,18
thickness_range,158.0556,111.5139,20,319,24.25,303.7,18
thickness_ratio,42.8396,100.1684,1.071,320,1.088,303.85,18
circularity_outer,0.7423,0.2171,0.1724,0.8615,0.2941,0.8549,18
circularity_inner,0.8318,0.0204,0.7904,0.8609,0.804,0.8594,18
outer_radial_std,14.2811,19.7241,1.82,59.85,1.854,52.7865,18
inner_radial_std,2.1444,0.6723,1.41,3.96,1.444,3.2885,18
eccentricity_pct,3.1383,4.8264,0.05,18.68,0.1265,10.3925,18
annular_area,847113.5556,41118.0599,725425,891885,772314.4,883879.7,18
edge_clearance,90.2778,79.2404,0,234,0,217.85,18
