metric,mean,std,min,max,p5,p95,n
outer_radius,629.9985,6.6203,617.91,641.33,618.8875,639.3925,26
inner_radius,379.9038,7.7008,366.99,398.7,371.3075,387.7575,26
center_dist,21.4919,9.5506,1.63,40.74,5.6,36.46,26
ring_thickness,250.0935,8.8486,232.98,267.98,235.335,263.9125,26
mean_radius,504.9527,5.6551,495.52,515.19,497.03,512.2575,26
min_thickness,183.3077,88.2486,1,240,2,234.5,26
max_thickness,279.5385,8.2036,267,297,267.5,292,26
mean_thickness,249.3773,9.4792,215.98,266.08,239.8125,260.8925,26
thickness_std,20.2931,14.0192,8.94,79.44,9.58,39.33,26
thickness_cv,8.3327,6.5385,3.64,36.78,3.775,16.265,26
thickness_range,96.2308,88.4314,37,283,43,276.75,26
thickness_ratio,26.9193,75.4571,1.161,284,1.1862,219.65,26
circularity_outer,0.7202,0.1014,0.5035,0.8409,0.5662,0.8378,26
circularity_inner,0.8441,0.0833,0.4433,0.8818,0.827,0.876,26
outer_radial_std,8.5135,4.7849,5.09,26.76,5.2725,15.2125,26
inner_radial_std,4.1065,6.478,1.17,35.5,1.6175,4.8625,26
eccentricity_pct,4.2646,1.9014,0.32,7.91,1.0925,7.2725,26
annular_area,793684.1538,26166.6984,740366,834677,756563.75,834032.25,26
edge_clearance,143.1923,73.9524,0,265,7.75,253,26
