metric,mean,std,min,max,p5,p95,n
outer_radius,493.644,198.5268,114.75,1211.81,258.7815,627.74,42
inner_radius,55.7331,97.0121,7.94,477.25,9.0365,115.6545,42
center_dist,437.0388,154.9596,109.38,713.67,172.118,666.9945,42
ring_thickness,437.9102,131.6595,105.48,741.29,248.102,609.8435,42
mean_radius,274.6886,141.6998,61.82,844.53,134.4745,342.6975,42
min_thickness,106.6905,147.4205,1,476,1,354.35,42
max_thickness,435.6667,297.6946,73,1373,75.9,826.65,42
mean_thickness,218.4083,210.5597,17.5,672.97,19.55,555.6345,42
thickness_std,77.1333,40.7811,14.03,172.5,17.2935,137.3375,42
thickness_cv,66.736,40.9898,14.95,147.77,18.477,134.188,42
thickness_range,328.9762,180.838,66,1053,74.85,574.75,42
thickness_ratio,138.7683,140.9392,1.79,392,2.3306,320.7,42
circularity_outer,0.1029,0.0558,0.0361,0.2633,0.0428,0.2062,42
circularity_inner,0.3904,0.2228,0.0867,0.8731,0.1189,0.7633,42
outer_radial_std,144.3983,47.4173,44.55,242.65,62.107,210.7475,42
inner_radial_std,19.1774,34.4915,0.41,170.17,1.4715,50.763,42
eccentricity_pct,170.0531,45.848,49.53,241.42,87.9445,226.933,42
annular_area,542848.5714,821846.6639,11629,4189113,23939.1,880493.75,42
edge_clearance,218.9762,205.1597,0,669,0,505.45,42
