metric,mean,std,min,max,p5,p95,n
outer_radius,634.8588,144.4093,441.58,1052.78,457.6375,813.875,16
inner_radius,54.3675,75.7487,10.19,322.87,13.4375,162.64,16
center_dist,551.1894,154.4642,236.62,841.17,292.615,754.845,16
ring_thickness,580.4906,100.5962,417.48,729.91,420.9975,713.305,16
mean_radius,344.6131,103.7579,232.84,687.82,245.4475,464.3875,16
min_thickness,24.5625,43.0224,1,151,1,114.25,16
max_thickness,595.625,105.3818,449,858,473.75,775.5,16
mean_thickness,237.9838,59.0651,151.39,348.43,160.1125,320.83,16
thickness_std,170.57,30.5112,133.08,253.75,134.9325,211.915,16
thickness_cv,73.6875,11.3687,56.51,94.75,56.75,89.62,16
thickness_range,571.0625,93.6764,421,747,461.5,717,16
thickness_ratio,273.3989,294.6698,5.682,748,5.832,693.25,16
circularity_outer,0.1565,0.0767,0.0617,0.3761,0.0628,0.3073,16
circularity_inner,0.4246,0.2268,0.1232,0.8316,0.1444,0.8291,16
outer_radial_std,199.3694,48.6666,110.79,269.65,123.2025,268.5175,16
inner_radial_std,10.3562,10.5198,0.75,41.3,2.0625,32.5325,16
eccentricity_pct,165.105,45.5682,69.01,243.39,93.4675,238.635,16
annular_area,758748.3125,603143.9659,397249,2970023,423589.75,1351652,16
edge_clearance,0,0,0,0,0,0,16
